Patriarch's Driver,Beatdown Basics,Wooden Driver,Super Resin,Pearl,"20,000"
Dragon-Drive 99,Tale of a Great Golfer,Titanium Driver,Durable Cloth,High-Grade Platinum,"50,000"
Spiked Bat,Beatdown Basics,Metal Bat,Chunk of Wood (Ash),Iron Nail,"10,000"
Patriarch's Bat,Beatdown Basics,Metal Bat,Chunk of Wood (Maple),Block of Brass,"20,000"
Golden Dragon Bat,My Boyfriend is Number Four,Metal Bat,Chunk of Wood (Sacred),Seal of the Dragon,"50,000"
Steel Laundry Pole,Spear of the Moment,Extendable Staff,Super Glue,Block of Brass,"10,000"
Purgatory Rod,Spear of the Moment,Extendable Staff,Magnetized Metal,Lighter Fluid,"20,000"
Great Dragon Spear,Spear of the Moment,Assassin's Spear,Chunk of Wood (Sacred),Ruby,"50,000"
Squid Spear,Explosive Fishing!,Extendable Staff,Squid,Bagged Ice,"10,000"
Great Marlin,Explosive Fishing!,Squid Spear,Marlin,Cold Pack,"30,000"
Sonic Knife,Kamiyama Weapon Catalog,Nameless Short Sword,Block of Brass,Small Motor,"5,000"
Photon Blade MG,Space Ninja VII,Nameless Katana,Battery,Blue Fluorescent Bulb,"10,000"
Photon Blade RG,Space Ninja VII,Photon Blade MG,Small Motor,Gravity Converter,"30,000"
Dragon Slayer,Swordsmith,Sakura Storm,Ancient Steel,Eye of the Dragon,"50,000"
Hammer,Dumpling-Making Expose,Sledgehammer,Block of Brass,Dropper,"5,000"
Toy Hammer,Dumpling-Making Expose,Sledgehammer,Large Blow-Up Doll,Super Resilient Resin,"20,000"
Raging Dragon Hammer,Dumpling-Making Expose,Sledgehammer,Bloody Cloth,Seal of the Dragon,"50,000"
Danger! Do Not Swing,Rare Sign Maniac,Miniature Sign,SSS Gunpowder,Ancient Steel,"50,000"
Pepper Knuckles,Lucky 8: Fist of Glory,Brass Knuckles,Chili Pepper,Adhesive Bandages,"10,000"
Dragon Grudge Gloves,Lucky 8: Fist of Glory,Brass Knuckles,Bloody Cloth,Eye of the Dragon,"50,000"
Hungry Wolf Gloves,Trail of the Ancient Fighter King,Demon Gauntlets,Diamond,Bloody Cloth,"50,000"
Slash Tonfa,Dragon's Last Wind,Iron Tonfa,Super Resin,Kamaitachi Utility Knife,"20,000"
Pepper Spray Tonfa,Dragon's Last Wind,Iron Tonfa,Chili Pepper,Dropper,"10,000"
Dragon Horn,Dragon's Last Wind,Steel Tonfa,Demon Stone,Seal of the Dragon,"50,000"
Self-Defense Ruler,Shocking Spy Gear Exposed,Iron Tonfa,Chunk of Wood (Maple),Chunk of Wood (Ash),"10,000"
Platinum Ruler,Shocking Spy Gear Exposed,Self-Defense Ruler,High-Grade Platinum,Magnetized Metal,"50,000"
Twin Hangers,Memoirs of an Action Star,Long Nunchaku,Patented Hanger,Patented Hanger,"5,000"
Steel Nunchaku,Memoirs of an Action Star,Long Nunchaku,Ancient Steel,Super Glue,"20,000"
Dragon Nunchaku,Memoirs of an Action Star,Long Nunchaku,Diamond,Seal of the Dragon,"50,000"
Electromagnetic Nunchaku,Fun Science with Denzaburo,Wooden Nunchaku,Battery,Asian Digital Watch,"10,000"
"Spark 20000V",Fun Science with Denzaburo,Electromagnetic Nunchaku,Super High-Voltage Battery,Gravity Converter,"50,000"
Demon Taiko Sticks,The Secret to Promotion,Double Slats,Ancient Steel,Demon Stone,"10,000"
Spiked Taiko Sticks,The Secret to Promotion,Double Slats,Super Resin,Iron Nail,"5,000"
Twin Dragon Sticks,The Secret to Promotion,Wooden Kali Sticks,Mystery Stone,Eye of the Dragon,"50,000"
Cute Girl Sticks,Shiny Shine! Love Shine!,Wooden Kali Sticks,Large Blow-Up Doll,Broken Radio,"10,000"
Love Shine Sticks,Shiny Shine! Love Shine!,Cute Girl Sticks,Super High-Voltage Battery,Shard of Bulletproof Glass,"50,000"
Slime Gun,Toy Gun Blueprints,Expulsion S-12,Cooking Oil,Rubber Ball,"10,000"
Smoke Gun,Toy Gun Blueprints,Broken M1985,Flour,Pepper,"10,000"
NMR-Limbo Model,Limbo 2: Night of the Limbo,NSD Prototype,SSS Gunpowder,Gravity Converter,"50,000"
Drow-Z 55,Inmate Number 38,9mm Automatic Pistol,Mystery Liquid,Multipurpose Thumbtack,"20,000"
Mr. Random,Inmate Number 38,Double Action Revolver,Kamitachi Utility Knife,Flour,"30,000"
Brickshooter Beer,Cheap and Easy Self Defense,Blackjack,Ancient Steel,Broken Radio,"5,000"
Ballbuster,Cheap and Easy Self Defense,Blackjack,Super Resilient Resin,Super Resilient Resin,"5,000"
Kamiyama's Police Baton,Kamiyama Weapon Catalog,Hyper Stun Gun,Cooking Oil,Battery,"5,000"
Slime Spray,Cheap and Easy Self Defense,Pepper Spray,Cooking Oil,Tauriner,"5,000"
Modified Stun Lighter,Cheap and Easy Self Defense,Modified Lighter,Battery,Lighter Fluid,"5,000"
Super Mod Lighter,Kamiyama Weapon Catalog,Modified Lighter,Small Motor,Lighter Fluid,"5,000"
Kamiyama Jacket,K Works Catalog 3,Antique Chain Mail,Fitness Gear,Ruby,"50,000"
Low-Resilience Jacket,Kick Ass Like a Badass,SWAT Body Armor,Shape Memory Spring,Super Resin,"40,000"
Yakuza Training Gear,Let's Get Physical!,Steel Mail,Fitness Gear,Shape Memory Spring,"40,000"
New Flak Vest,K Works Catalog 2,Bulletproof Breastplate,Durable Cloth,Shard of Bulletproof Glass,"30,000"
Insulated Shirt,K Works Catalog 2,Fearless Binding,Rubber Hose,Super Glue,"30,000"
Wake-Up Shirt,Kick Ass Like a Badass,Battle Mail,Pepper,Tonic Shampoo,"30,000"
Dustproof Shirt,Kick Ass Like a Badass,SWAT Body Armor,Rubber Hose,Small Motor,"30,000"
Strong Training Gear,Let's Get Physical!,Binding,Rubber Hose,Shape Memory Spring,"30,000"
Fireproof Shirt,K Works Catalog 1,Fighter's Binding,Bagged Ice,Adhesive Bandages,"20,000"
Kamiyama Arm Guards,K Works Catalog 3,Gauntlets,Mystery Stone,Mystery Liquid,"25,000"
Kamiyama Shin Guards,K Works Catalog 3,Steel Shin Guards,Durable Cloth,Pearl,"25,000"
Super Contacts,K Works Catalog 1,Contact Lenses,Durable Cloth,Tonic Shampoo,"20,000"
Uber Contacts,K Works Catalog 2,Contact Lenses,Shard of Bulletproof Glass,Tonic Shampoo,"20,000"
High-Tech Arm Guards,Kick Ass Like a Badass,Gauntlets,Blue Fluorescent Bulb,Shape Memory Spring,"20,000"
Rescue Card,World's Strangest Amulets,Protective Amulet,Chili Pepper,,"20,000"
Immovable Belt,Let's Get Physical!,Tiger Skin Belt,Staminan Spark,Staminan Spark,"20,000"
High-Tech Shin Guards,K Works Catalog 3,Plastic Shin Guards,Durable Cloth,Super Resin,"20,000"
Spiked Shoes,Grandmas on the Run,Comfy Soles,Iron Nail,Multipurpose Thumbtack,"20,000"
Mew Shoes,Grandmas on the Run,Comfy Soles,Stuffed Cat Toy,Rubber Ball,"20,000"
Springy Arm Guards,Let's Get Physical!,Gauntlets,Shape Memory Spring,Magnetized Metal,"15,000"
Striker Shin Guards,K Works Catalog 1,Plastic Shin Guards,Shard of Bulletproof Glass,Super Glue,"15,000"
Runner's Necklace,K Works Catalog 1,Protective Amulet,Magnetized Metal,Toughness Emperor,"10,000"
Bulletproof Glass Amulet,World's Strangest Amulets,Protective Amulet,Shard of Bulletproof Glass,Magnetized Metal,"10,000"
Ass Quills,K Works Catalog 1,Protective Amulet,Iron Nail,Shape Memory Spring,"10,000"
Spiked Shoulder Pads,K Works Catalog 2,Shoulder Pads,Multipurpose Thumbtack,Super Glue,"5,000"
Balance Bracelet,Grandmas on the Run,Tourmaline Bracelet,Asian Digital Watch,,"5,000"
Cardio-enhancing Running Shirt,K Works Catalog 3,Physimagic Jersey,Toughness Z,Staminan X,"10,000"
Pitcher's Amulet,World's Strangest Amulets,Protective Amulet,Tonic Shampoo,Rubber Ball,"5,000"